English,Tulu
The change was written by Chandu,ಬದಲಾವಣೆ ಬರೆಯಿನಾರ್ ಚಂದು ಪನ್ಪಿನಾರ್
God Gives Everything When He Gives It,ದೇವೆರ್ ಕೊರ್ನಗ ಮಾತಲ ಕೊರ್ಪೆರ್
"Also, the pain of the mind does not go away.",ಅಂಚನೆ ಮನಸುಗು ಆಯಿನ ಬೇನೆ ಆ ಬೇನೆ ಮಾಜುಜಿ
The potential is on the move,ವಿಭವೆ ನಡತೊಂದುಲ್ಲೆ
There was a science that we did not understand easily.,ನಮಕ್ ಸೊಲಬೊಗು ಅರ್ಥ ಆವಂದಿನ ಒಂಜಿ ವಿಜ್ಞಾನ ಇತ್ತ್ಂಡ್
"In the investigation of this case, as per the direction of DK District Superintendent of Police Shri Hrishikesh Sonawane IPS, under the guidance of DK District Additional Superintendent of Police Shri V.B. Bhaskar, Bantwal Sub-Divisional Deputy Superintendent of Police Shri Valentin D'Souza, Bantwal City Police Station Inspector Cheluvaraju B. Bantwal City Police Station Sub-Inspector and staff, Bantwal Rural Police Station Sub-Inspector and staff, Bantwal City Police Station Crime Branch Police Sub-Inspector","ಈ ಪ್ರಕರಣದ ಪತ್ತೆಡ್ ದ.ಕ ಜಿಲ್ಲಾ ಪೊಲೀಸ್ ಅಧೀಕ್ಷಕೆರಾಯಿನ ಶ್ರೀ ಋಷಿಕೇಶ್ ಸೋನಾವಣೆ ಐ.ಪಿ.ಎಸ್ ಮೆರ್ನ ನಿರ್ದೇಶನದ ಪ್ರಕಾರ ದ.ಕ ಜಿಲ್ಲಾ ಹೆಚ್ಚುವರಿ ಪೊಲೀಸ್ ಅಧೀಕ್ಷಕೆರಾಯಿನ ಶ್ರೀ ವಿ.ಬಿ ಭಾಸ್ಕರ್ ಮೆರ್ನ ಮಾರ್ಗದರ್ಶನಡ್ ಬಂಟ್ವಾಳ ಉಪವಿಭಾಗದ ಪೊಲೀಸ್ ಉಪಾಧೀಕ್ಷಕೆರಾಯಿನ ಶ್ರೀ ವೆಲೈಂಟೈನ್ ಡಿಸೋಜಾ ಮೆರ್ನ ಮುತಾಲಿಕೆಡ್ ಬಂಟ್ವಾಳ ನಗರ ಠಾಣಾ ಪೊಲೀಸ್ ನಿರೀಕ್ಷಕೆರಾಯಿನ ಚೆಲುವರಾಜು ಬಿ, ಬಂಟ್ವಾಳ ನಗರ ಠಾಣಾ ಪೊಲೀಸ್ ಉಪನಿರೀಕ್ಷಕೆರ್ ಬೊಕ್ಕ ಸಿಬ್ಬಂದಿಲು ಬಂಟ್ವಾಳ ಗ್ರಾಮಾಂತರ ಪೊಲೀಸ್ ಠಾಣಾ ಉಪನಿರೀಕ್ಷಕೆರ್ ಅಂಚನೇ ಸಿಬ್ಬಂದಿನಕುಲು ಬಂಟ್ವಾಳ ನಗರ ಪೊಲೀಸ್ ಠಾಣಾ ಅಪರಾಧ ವಿಭಾಗದ ಪೊಲೀಸ್ ಉಪನಿರೀಕ್ಷಕೆರಾಯಿನ ,"
Lost to time,ತತ್ತಿ ಕಾಲೊಗು ಸೋಲು
There has been a fierce tussle between Sonowal and influential leader Himanta Biswa Sarma for the next chief minister of Assam.,ಅಸ್ಸಾಂ ದ ದುಂಬುದ ಮುಖ್ಯಮಂತ್ರಿ ಸ್ಥಾನಗಾದ್ ಸೋನೊವಾಲ್ ಬೊಕ್ಕ ಪ್ರಭಾವಿ ನಾಯಕ ಹಿಮಂತ ಬಿಸ್ವಾ ಶರ್ಮಾ ನಡುಟು ತೀವ್ರ ಪೈಪೋಟಿ ಆತುಂಡು .
Sureshan is watching,ಸುರೇಶೆ ತೂವೊಂದುಲ್ಲೆ
Bend and straighten the child's arms and legs.,ಪದಿನಾಜಿ ದಿನರ್ದು ಬೊಕ ಬಾಲೆಗ್ ಎಣ್ಣೆ ಪೂಜುವೆರ್
